dir,to,tt,vo,vt,v,a,ag,av,none,none
右,0.14020,0.14780,56.56,54.06,55.31,1.716,1.751,0.0310,8.29662,16.04325
右,0.08504,0.08776,93.25,91.04,92.15,2.520,2.572,0.0274,13.82205,8.70384
右,0.11730,0.12200,67.60,65.49,66.55,1.743,1.779,0.0262,9.98222,6.37709
右,0.17250,0.18370,45.97,43.49,44.73,1.373,1.401,0.0307,6.70994,15.39050
右,0.31220,0.35150,25.40,22.73,24.07,0.796,0.813,0.0331,3.60987,20.17658
左,0.09798,0.10140,80.93,78.80,79.87,2.117,2.160,0.0265,11.97988,7.00708
左,0.08353,0.08610,94.94,92.80,93.87,2.486,2.538,0.0265,14.08013,6.97831
左,0.12040,0.12530,65.86,63.77,64.82,1.685,1.719,0.0260,9.72231,5.98532
左,0.17420,0.18330,45.52,43.59,44.56,1.067,1.089,0.0240,6.68341,1.91483
左,0.23120,0.24720,34.30,32.32,33.31,0.816,0.833,0.0245,4.99660,3.02198
